cbsa_code,cbsa_name,cbsa_type,latitude,longitude,principal_city,states,is_metro,cbsa_name_normalized
39860,"Red Wing, MN Micro Area",2,44.406178,-92.716,Red Wing,MN,False,"red wing, mn micro area"
39900,"Reno, NV Metro Area",1,40.251057,-119.555507,Reno,NV,True,"reno, nv metro area"
39940,"Rexburg, ID Micro Area",2,44.142753,-111.508107,Rexburg,ID,False,"rexburg, id micro area"
39980,"Richmond, IN Micro Area",2,39.863091,-85.006735,Richmond,IN,False,"richmond, in micro area"
40080,"Richmond-Berea, KY Micro Area",2,37.59662,-84.205586,Richmond-Berea,KY,False,"richmond-berea, ky micro area"
40090,"Rifle, CO Micro Area",2,39.509466,-107.667061,Rifle,CO,False,"rifle, co micro area"
40100,"Rio Grande City-Roma, TX Micro Area",2,26.530903,-98.740235,Rio Grande City-Roma,TX,False,"rio grande city-roma, tx micro area"
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",1,34.538476,-116.134541,Riverside-San Bernardino-Ontario,CA,True,"riverside-san bernardino-ontario, ca metro area"
40260,"Roanoke Rapids, NC Micro Area",2,36.320576,-77.542757,Roanoke Rapids,NC,False,"roanoke rapids, nc micro area"
40300,"Rochelle, IL Micro Area",2,42.041884,-89.320176,Rochelle,IL,False,"rochelle, il micro area"
40340,"Rochester, MN Metro Area",1,43.94981,-92.33066,Rochester,MN,True,"rochester, mn metro area"
40380,"Rochester, NY Metro Area",1,43.184718,-77.556558,Rochester,NY,True,"rochester, ny metro area"
40420,"Rockford, IL Metro Area",1,42.331183,-89.042914,Rockford,IL,True,"rockford, il metro area"
40460,"Rockingham, NC Micro Area",2,35.004636,-79.755695,Rockingham,NC,False,"rockingham, nc micro area"
40580,"Rocky Mount, NC Metro Area",1,35.941045,-77.798549,Rocky Mount,NC,True,"rocky mount, nc metro area"
40660,"Rome, GA Metro Area",1,34.26369,-85.213685,Rome,GA,True,"rome, ga metro area"
40770,"Russellville, AL Micro Area",2,34.441989,-87.842814,Russellville,AL,False,"russellville, al micro area"
40820,"Ruston, LA Micro Area",2,32.601823,-92.662303,Ruston,LA,False,"ruston, la micro area"
40900,"Sacramento-Roseville-Folsom, CA Metro Area",1,38.790272,-121.005643,Sacramento-Roseville-Folsom,CA,True,"sacramento-roseville-folsom, ca metro area"
40980,"Saginaw, MI Metro Area",1,43.328267,-84.05541,Saginaw,MI,True,"saginaw, mi metro area"
41060,"St. Cloud, MN Metro Area",1,45.593031,-94.488363,St. Cloud,MN,True,"st. cloud, mn metro area"
41140,"St. Joseph, MO-KS Metro Area",1,39.834843,-94.783754,St. Joseph,MO-KS,True,"st. joseph, mo-ks metro area"
41180,"St. Louis, MO-IL Metro Area",1,38.740211,-90.345825,St. Louis,MO-IL,True,"st. louis, mo-il metro area"
41400,"Salem, OH Micro Area",2,40.770073,-80.778455,Salem,OH,False,"salem, oh micro area"
41420,"Salem, OR Metro Area",1,44.903385,-122.901757,Salem,OR,True,"salem, or metro area"
41540,"Salisbury, MD Metro Area",1,38.197279,-75.769252,Salisbury,MD,True,"salisbury, md metro area"
41620,"Salt Lake City-Murray, UT Metro Area",1,40.572887,-112.953253,Salt Lake City-Murray,UT,True,"salt lake city-murray, ut metro area"
41700,"San Antonio-New Braunfels, TX Metro Area",1,29.43306,-98.606973,San Antonio-New Braunfels,TX,True,"san antonio-new braunfels, tx metro area"
41780,"Sandusky, OH Metro Area",1,41.519606,-82.794568,Sandusky,OH,True,"sandusky, oh metro area"
41820,"Sanford, NC Micro Area",2,35.476336,-79.172117,Sanford,NC,False,"sanford, nc micro area"
41860,"San Francisco-Oakland-Fremont, CA Metro Area",1,37.773718,-122.274432,San Francisco-Oakland-Fremont,CA,True,"san francisco-oakland-fremont, ca metro area"
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1,36.908472,-121.371372,San Jose-Sunnyvale-Santa Clara,CA,True,"san jose-sunnyvale-santa clara, ca metro area"
41980,"San Juan-BayamÃ³n-Caguas, PR Metro Area",1,18.294453,-66.036844,San Juan-BayamÃ³n-Caguas,PR,True,"san juan-bayamã³n-caguas, pr metro area"
42100,"Santa Cruz-Watsonville, CA Metro Area",1,37.012347,-122.007789,Santa Cruz-Watsonville,CA,True,"santa cruz-watsonville, ca metro area"
42140,"Santa Fe, NM Metro Area",1,35.514531,-105.963972,Santa Fe,NM,True,"santa fe, nm metro area"
42340,"Savannah, GA Metro Area",1,32.109256,-81.273287,Savannah,GA,True,"savannah, ga metro area"
42460,"Scottsboro, AL Micro Area",2,34.764114,-85.980056,Scottsboro,AL,False,"scottsboro, al micro area"
42620,"Searcy, AR Micro Area",2,35.255118,-91.753034,Searcy,AR,False,"searcy, ar micro area"
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",1,47.490552,-121.833977,Seattle-Tacoma-Bellevue,WA,True,"seattle-tacoma-bellevue, wa metro area"
42680,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",1,27.700528,-80.574789,Sebastian-Vero Beach-West Vero Corridor,FL,True,"sebastian-vero beach-west vero corridor, fl metro area"
42780,"Selinsgrove, PA Micro Area",2,40.755412,-77.07302,Selinsgrove,PA,False,"selinsgrove, pa micro area"
42820,"Selma, AL Micro Area",2,32.333526,-87.11436,Selma,AL,False,"selma, al micro area"
42860,"Seneca, SC Micro Area",2,34.748766,-83.06154,Seneca,SC,False,"seneca, sc micro area"
42900,"Seneca Falls, NY Micro Area",2,42.782294,-76.827088,Seneca Falls,NY,False,"seneca falls, ny micro area"
42940,"Sevierville, TN Micro Area",2,35.787822,-83.5249,Sevierville,TN,False,"sevierville, tn micro area"
42980,"Seymour, IN Micro Area",2,38.911957,-86.042516,Seymour,IN,False,"seymour, in micro area"
43020,"Shawano, WI Micro Area",2,44.851643,-88.745543,Shawano,WI,False,"shawano, wi micro area"
43060,"Shawnee, OK Micro Area",2,35.211391,-96.957004,Shawnee,OK,False,"shawnee, ok micro area"
43140,"Shelby-Kings Mountain, NC Micro Area",2,35.33463,-81.557114,Shelby-Kings Mountain,NC,False,"shelby-kings mountain, nc micro area"
43180,"Shelbyville, TN Micro Area",2,35.51366,-86.458294,Shelbyville,TN,False,"shelbyville, tn micro area"
43220,"Shelton, WA Micro Area",2,47.350832,-123.173103,Shelton,WA,False,"shelton, wa micro area"
43300,"Sherman-Denison, TX Metro Area",1,33.624548,-96.675777,Sherman-Denison,TX,True,"sherman-denison, tx metro area"
43340,"Shreveport-Bossier City, LA Metro Area",1,32.437682,-93.744884,Shreveport-Bossier City,LA,True,"shreveport-bossier city, la metro area"
43380,"Sidney, OH Micro Area",2,40.33668,-84.204142,Sidney,OH,False,"sidney, oh micro area"
43460,"Sikeston, MO Micro Area",2,36.94283,-89.427601,Sikeston,MO,False,"sikeston, mo micro area"
43580,"Sioux City, IA-NE-SD Metro Area",1,42.508037,-96.311314,Sioux City,IA-NE-SD,True,"sioux city, ia-ne-sd metro area"
43640,"Slidell-Mandeville-Covington, LA Metro Area",1,30.410022,-89.951962,Slidell-Mandeville-Covington,LA,True,"slidell-mandeville-covington, la metro area"
43740,"Somerset, PA Micro Area",2,39.981297,-79.028486,Somerset,PA,False,"somerset, pa micro area"
43780,"South Bend-Mishawaka, IN-MI Metro Area",1,41.774981,-86.123014,South Bend-Mishawaka,IN-MI,True,"south bend-mishawaka, in-mi metro area"
43890,"Sparta, WI Micro Area",2,43.945175,-90.619969,Sparta,WI,False,"sparta, wi micro area"
43900,"Spartanburg, SC Metro Area",1,34.83462,-81.842401,Spartanburg,SC,True,"spartanburg, sc metro area"
43940,"Spearfish, SD Micro Area",2,44.348514,-103.806362,Spearfish,SD,False,"spearfish, sd micro area"
43980,"Spencer, IA Micro Area",2,43.081224,-95.149875,Spencer,IA,False,"spencer, ia micro area"
44020,"Spirit Lake, IA Micro Area",2,43.389611,-95.196057,Spirit Lake,IA,False,"spirit lake, ia micro area"
44060,"Spokane-Spokane Valley, WA Metro Area",1,48.091618,-117.663472,Spokane-Spokane Valley,WA,True,"spokane-spokane valley, wa metro area"
44100,"Springfield, IL Metro Area",1,39.828621,-89.696067,Springfield,IL,True,"springfield, il metro area"
44140,"Springfield, MA Metro Area",1,42.136198,-72.635648,Springfield,MA,True,"springfield, ma metro area"
44220,"Springfield, OH Metro Area",1,39.917032,-83.783676,Springfield,OH,True,"springfield, oh metro area"
44260,"Starkville, MS Micro Area",2,33.514617,-89.077508,Starkville,MS,False,"starkville, ms micro area"
44300,"State College, PA Metro Area",1,40.909322,-77.847667,State College,PA,True,"state college, pa metro area"
